stem,gru_time_loss,gru_strategy,pers_time_loss,pers_strategy,gru_better
traffic_data_20260511_051957,51.1,baseline_more_edges,49.21,baseline_original,False
traffic_data_20260521_214538,564.24,adaptive,576.6,adaptive,True
traffic_data_20260521_233134,630.74,baseline_more_edges_more_tls,631.62,baseline_original,True
traffic_data_20260522_043956,127.79,baseline_more_edges_more_tls,101.29,baseline_more_edges_more_tls,False
traffic_data_20260522_093508,379.77,no_control,379.77,no_control,False
traffic_data_20260522_123601,441.68,baseline_more_edges_more_tls,415.03,baseline_more_edges_more_tls,False
traffic_data_20260527_083648,47.19,adaptive,47.32,baseline_original,True
traffic_data_20260527_084148,19.73,baseline_original,20.59,adaptive,True
traffic_data_20260527_141149,66.98,baseline_more_edges,67.59,baseline_original,True
traffic_data_20260527_151149,27.45,no_control,27.45,no_control,False
traffic_data_20260527_161649,31.2,baseline_more_edges_more_tls,31.98,baseline_more_edges_more_tls,True
traffic_data_20260528_155700,19.55,adaptive,19.5,baseline_original,False
traffic_data_20260528_171700,34.37,baseline_more_edges_more_tls,35.01,baseline_more_edges,True
traffic_data_20260528_212200,46.12,baseline_more_edges_more_tls,30.2,baseline_more_edges_more_tls,False
traffic_data_20260529_004200,41.9,baseline_original,41.92,no_control,True
