stem,gru_time_loss,gru_strategy,pers_time_loss,pers_strategy,gru_better
traffic_data_20260526_220647,29.99,baseline_original,29.73,adaptive,False
traffic_data_20260526_221147,45.64,no_control,45.48,baseline_more_edges_more_tls,False
traffic_data_20260526_221647,21.26,adaptive,21.26,baseline_more_edges_more_tls,False
traffic_data_20260526_222647,34.1,baseline_original,32.81,baseline_more_edges,False
traffic_data_20260526_224147,13.05,no_control,13.05,no_control,False
traffic_data_20260526_225147,20.3,no_control,20.3,no_control,False
traffic_data_20260526_230147,25.46,baseline_original,25.04,baseline_more_edges,False
traffic_data_20260526_231147,33.35,baseline_more_edges_more_tls,33.07,adaptive,False
traffic_data_20260527_001647,17.64,no_control,17.17,baseline_more_edges_more_tls,False
traffic_data_20260527_004147,17.35,baseline_original,17.16,baseline_more_edges_more_tls,False
traffic_data_20260527_005647,20.95,baseline_more_edges_more_tls,20.53,baseline_more_edges_more_tls,False
traffic_data_20260527_051648,28.84,baseline_original,26.2,baseline_more_edges_more_tls,False
traffic_data_20260527_063648,32.78,baseline_more_edges_more_tls,33.15,adaptive,True
traffic_data_20260527_065648,36.46,baseline_original,36.88,baseline_original,True
traffic_data_20260527_091648,35.57,no_control,30.88,baseline_more_edges_more_tls,False
traffic_data_20260527_095148,20.45,baseline_more_edges_more_tls,20.33,baseline_more_edges,False
traffic_data_20260527_102648,26.11,baseline_more_edges,26.54,baseline_more_edges_more_tls,True
traffic_data_20260527_110148,46.66,no_control,39.37,adaptive,False
traffic_data_20260527_133649,22.81,baseline_more_edges_more_tls,22.7,baseline_more_edges_more_tls,False
traffic_data_20260527_140649,18.43,baseline_more_edges,18.38,adaptive,False
traffic_data_20260527_142649,28.78,no_control,26.79,baseline_original,False
traffic_data_20260527_150149,41.65,baseline_more_edges,42.91,no_control,True
traffic_data_20260527_161649,31.2,baseline_more_edges_more_tls,31.98,baseline_more_edges_more_tls,True
traffic_data_20260527_162649,19.81,no_control,17.92,baseline_more_edges_more_tls,False
traffic_data_20260527_164149,48.33,no_control,48.33,no_control,False
traffic_data_20260527_165149,91.31,adaptive,89.84,baseline_more_edges_more_tls,False
traffic_data_20260527_175149,91.5,baseline_original,91.73,baseline_original,True
traffic_data_20260527_182649,143.69,adaptive,136.99,adaptive,False
traffic_data_20260527_183649,157.84,baseline_more_edges_more_tls,154.34,baseline_more_edges,False
traffic_data_20260527_193649,44.07,baseline_more_edges,44.27,no_control,True
traffic_data_20260527_195149,37.57,baseline_original,37.4,baseline_more_edges_more_tls,False
traffic_data_20260527_203149,58.03,adaptive,54.06,baseline_original,False
traffic_data_20260527_204149,76.36,no_control,72.64,baseline_original,False
traffic_data_20260527_214149,69.84,adaptive,70.28,adaptive,True
traffic_data_20260527_222646,22.59,baseline_original,21.99,baseline_more_edges_more_tls,False
traffic_data_20260528_134200,44.31,no_control,44.31,no_control,False
traffic_data_20260528_142200,60.49,baseline_more_edges,57.48,baseline_more_edges_more_tls,False
traffic_data_20260528_143200,72.36,baseline_more_edges,73.51,baseline_original,True
traffic_data_20260528_152200,32.6,baseline_more_edges,34.69,baseline_original,True
traffic_data_20260528_153200,65.45,adaptive,43.99,baseline_more_edges_more_tls,False
traffic_data_20260528_162200,46.18,baseline_more_edges_more_tls,45.08,baseline_original,False
traffic_data_20260528_163700,76.94,adaptive,92.05,no_control,True
traffic_data_20260528_170700,63.23,baseline_original,51.69,baseline_more_edges_more_tls,False
traffic_data_20260528_173200,30.82,adaptive,31.94,adaptive,True
traffic_data_20260528_174700,42.94,adaptive,43.13,adaptive,True
traffic_data_20260528_190200,16.03,adaptive,15.67,adaptive,False
traffic_data_20260528_190700,99.55,baseline_more_edges_more_tls,87.03,baseline_more_edges_more_tls,False
traffic_data_20260528_192200,54.49,baseline_more_edges_more_tls,48.42,baseline_more_edges_more_tls,False
traffic_data_20260528_194200,22.84,baseline_more_edges,23.54,baseline_more_edges_more_tls,True
traffic_data_20260528_195200,14.57,baseline_more_edges_more_tls,14.04,adaptive,False
traffic_data_20260528_210200,19.38,baseline_original,19.3,baseline_more_edges,False
traffic_data_20260528_214200,85.37,adaptive,80.2,adaptive,False
traffic_data_20260529_001700,14.01,baseline_more_edges_more_tls,13.97,baseline_more_edges_more_tls,False
traffic_data_20260529_003200,25.09,baseline_more_edges,24.89,baseline_more_edges_more_tls,False
traffic_data_20260529_011200,18.17,baseline_more_edges_more_tls,14.2,baseline_more_edges_more_tls,False
traffic_data_20260529_012200,18.15,no_control,18.15,no_control,False
traffic_data_20260529_015700,16.53,no_control,16.53,no_control,False
traffic_data_20260529_024200,18.57,no_control,18.57,no_control,False
traffic_data_20260529_030200,16.21,baseline_more_edges_more_tls,15.91,adaptive,False
traffic_data_20260531_030809,12.87,adaptive,13.07,baseline_more_edges_more_tls,True
