stem,mp_tl,mp_wait,mp_teleports,dyn_tl,dyn_strategy,no_control_tl,best_fixed_tl
traffic_data_20260526_220647,26.75,21.43,0,29.99,baseline_original,30.2,32.75
traffic_data_20260526_221147,70.66,62.15,9,45.64,no_control,45.64,45.96
traffic_data_20260526_221647,14.27,8.29,0,21.26,adaptive,22.5,21.98
traffic_data_20260526_222647,32.7,26.44,0,34.1,baseline_original,34.68,35.53
traffic_data_20260526_224147,10.86,5.96,0,13.05,no_control,13.05,13.12
traffic_data_20260526_225147,17.61,11.23,2,20.3,no_control,20.3,20.86
traffic_data_20260526_230147,14.46,9.24,3,25.46,baseline_original,29.61,25.84
traffic_data_20260526_231147,25.83,18.93,0,33.35,baseline_more_edges_more_tls,35.78,33.35
traffic_data_20260527_001647,13.03,8.12,0,17.64,no_control,17.64,18.03
traffic_data_20260527_004147,13.42,8.04,2,17.35,baseline_original,19.43,17.77
traffic_data_20260527_005647,22.79,17.02,3,20.95,baseline_more_edges_more_tls,24.76,20.95
traffic_data_20260527_051648,10.74,5.84,0,28.84,baseline_original,30.72,29.62
traffic_data_20260527_063648,19.21,11.61,0,32.78,baseline_more_edges_more_tls,35.05,32.78
traffic_data_20260527_065648,27.8,21.22,2,36.46,baseline_original,38.14,41.1
traffic_data_20260527_091648,26.07,19.29,3,35.57,no_control,35.57,36.6
traffic_data_20260527_095148,17.37,12.1,0,20.45,baseline_more_edges_more_tls,20.54,20.45
traffic_data_20260527_102648,29.8,23.91,8,26.11,baseline_more_edges,26.74,26.87
traffic_data_20260527_110148,29.06,21.62,0,46.66,no_control,46.66,49.84
traffic_data_20260527_133649,128.48,121.47,59,22.81,baseline_more_edges_more_tls,23.12,22.81
traffic_data_20260527_140649,12.71,7.67,0,18.43,baseline_more_edges,18.54,18.52
traffic_data_20260527_142649,27.75,21.34,10,28.78,no_control,28.78,30.08
traffic_data_20260527_150149,25.0,16.12,0,41.65,baseline_more_edges,42.91,42.73
traffic_data_20260527_161649,59.34,51.67,24,31.2,baseline_more_edges_more_tls,34.5,31.2
traffic_data_20260527_162649,12.78,7.53,0,19.81,no_control,19.81,19.85
traffic_data_20260527_164149,11.34,5.48,0,48.33,no_control,48.33,89.14
traffic_data_20260527_165149,89.25,75.9,9,91.31,adaptive,95.25,91.58
traffic_data_20260527_175149,87.52,74.66,2,91.5,baseline_original,92.2,91.93
traffic_data_20260527_182649,145.02,136.43,115,143.69,adaptive,170.65,187.04
traffic_data_20260527_183649,127.45,111.7,0,157.84,baseline_more_edges_more_tls,175.37,157.84
traffic_data_20260527_193649,57.29,48.3,8,44.07,baseline_more_edges,44.27,44.38
traffic_data_20260527_195149,42.34,34.33,5,37.57,baseline_original,37.91,37.54
traffic_data_20260527_203149,36.34,29.59,4,58.03,adaptive,58.8,59.32
traffic_data_20260527_204149,90.93,81.2,26,76.36,no_control,76.36,81.17
traffic_data_20260527_214149,72.7,63.02,1,69.84,adaptive,71.47,72.7
traffic_data_20260527_222646,19.23,13.04,0,22.59,baseline_original,22.78,22.71
traffic_data_20260528_134200,43.47,34.57,3,44.31,no_control,44.31,45.03
traffic_data_20260528_142200,47.49,38.67,4,60.49,baseline_more_edges,68.24,62.02
traffic_data_20260528_143200,51.16,40.94,4,72.36,baseline_more_edges,79.77,73.38
traffic_data_20260528_152200,30.29,21.91,1,32.6,baseline_more_edges,39.74,33.91
traffic_data_20260528_153200,20.82,11.63,0,65.45,adaptive,71.44,66.26
traffic_data_20260528_162200,44.17,36.0,0,46.18,baseline_more_edges_more_tls,46.49,46.18
traffic_data_20260528_163700,103.38,93.11,37,76.94,adaptive,92.05,77.57
traffic_data_20260528_170700,31.13,23.95,1,63.23,baseline_original,64.37,64.23
traffic_data_20260528_173200,17.55,11.48,2,30.82,adaptive,31.98,31.8
traffic_data_20260528_174700,28.54,21.04,0,42.94,adaptive,51.06,43.45
traffic_data_20260528_190200,15.84,10.02,3,16.03,adaptive,16.48,16.45
traffic_data_20260528_190700,57.87,48.53,7,99.55,baseline_more_edges_more_tls,99.74,99.55
traffic_data_20260528_192200,61.43,53.45,23,54.49,baseline_more_edges_more_tls,69.09,54.49
traffic_data_20260528_194200,19.73,12.99,2,22.84,baseline_more_edges,27.49,26.37
traffic_data_20260528_195200,13.35,7.97,3,14.57,baseline_more_edges_more_tls,14.53,14.57
traffic_data_20260528_210200,16.69,11.65,5,19.38,baseline_original,19.74,19.63
traffic_data_20260528_214200,101.52,87.08,12,85.37,adaptive,91.45,94.36
traffic_data_20260529_001700,7.55,2.52,0,14.01,baseline_more_edges_more_tls,14.36,14.01
traffic_data_20260529_003200,20.68,14.28,0,25.09,baseline_more_edges,25.47,25.37
traffic_data_20260529_011200,9.43,4.2,0,18.17,baseline_more_edges_more_tls,18.59,18.17
traffic_data_20260529_012200,11.5,6.49,0,18.15,no_control,18.15,18.33
traffic_data_20260529_015700,13.17,8.28,0,16.53,no_control,16.53,17.7
traffic_data_20260529_024200,16.83,10.73,0,18.57,no_control,18.57,20.97
traffic_data_20260529_030200,9.55,4.3,0,16.21,baseline_more_edges_more_tls,17.14,16.21
traffic_data_20260531_030809,25.55,20.5,1,12.87,adaptive,14.1,13.07
