stem,strategy,wait_ratio,loss_ratio,base_wait,act_wait,base_loss,act_loss,composite_w0.50,composite_w0.60,composite_w0.70
traffic_data_20260526_220147,no_control,1.0,1.0,27.6,27.6,33.54,33.54,1.0,1.0,1.0
traffic_data_20260526_220647,baseline_original,0.9905427631578947,0.993046357615894,24.32,24.09,30.2,29.99,0.9917945603868943,0.9915442009410944,0.9912938414952945
traffic_data_20260526_221147,no_control,1.0,1.0,36.57,36.57,45.64,45.64,1.0,1.0,1.0
traffic_data_20260526_221647,adaptive,0.9336255479023168,0.944888888888889,15.97,14.91,22.5,21.26,0.9392572183956029,0.9381308842969457,0.9370045501982884
traffic_data_20260526_222147,baseline_original,0.8085203847915712,0.8569996658870698,21.83,17.65,29.93,25.65,0.8327600253393205,0.8279120972297707,0.8230641691202207
traffic_data_20260526_222647,baseline_original,0.9778333929209868,0.9832756632064591,27.97,27.35,34.68,34.1,0.9805545280637229,0.9800103010351757,0.9794660740066286
traffic_data_20260526_223147,no_control,1.0,1.0,20.32,20.32,25.99,25.99,1.0,1.0,1.0
traffic_data_20260526_223647,no_control,1.0,1.0,12.11,12.11,17.25,17.25,1.0,1.0,1.0
traffic_data_20260526_224147,no_control,1.0,1.0,7.94,7.94,13.05,13.05,1.0,1.0,1.0
traffic_data_20260526_224647,adaptive,0.9666329625884732,0.9776258545680547,9.89,9.56,16.09,15.73,0.9721294085782639,0.9710301193803059,0.9699308301823477
traffic_data_20260526_225147,no_control,1.0,1.0,13.44,13.44,20.3,20.3,1.0,1.0,1.0
traffic_data_20260526_225647,adaptive,0.9080459770114943,0.9297435897435897,13.92,12.64,19.5,18.13,0.918894783377542,0.9167250221043324,0.9145552608311229
traffic_data_20260526_230147,baseline_original,0.8180227471566054,0.8598446470786897,22.86,18.7,29.61,25.46,0.8389336971176475,0.8347515071254391,0.8305693171332307
traffic_data_20260526_230647,baseline_more_edges,0.9901477832512315,0.9921311475409836,10.15,10.05,15.25,15.13,0.9911394653961076,0.9909411289671324,0.9907427925381571
traffic_data_20260526_231147,baseline_more_edges_more_tls,0.9110138584974471,0.932084963666853,27.42,24.98,35.78,33.35,0.92154941108215,0.9194423005652095,0.9173351900482689
traffic_data_20260526_231647,baseline_original,0.87734375,0.9135869565217392,12.8,11.23,18.4,16.81,0.8954653532608696,0.8918410326086956,0.8882167119565219
traffic_data_20260526_232147,baseline_more_edges_more_tls,0.9918463966333508,0.9940802455601843,38.02,37.71,45.61,45.34,0.9929633210967675,0.9927399362040842,0.9925165513114009
traffic_data_20260526_232647,baseline_more_edges_more_tls,0.9864029666254636,0.9856646394439619,16.18,15.96,23.02,22.69,0.9860338030347127,0.9861076357528629,0.9861814684710131
traffic_data_20260526_233147,adaptive,0.9372006386375732,0.9545988258317025,18.79,17.61,25.55,24.39,0.9458997322346379,0.9441599135152249,0.9424200947958119
traffic_data_20260526_233647,baseline_more_edges,0.9554670528602461,0.9561403508771931,27.62,26.39,37.62,35.97,0.9558037018687195,0.9557363720670249,0.9556690422653302
traffic_data_20260526_234147,no_control,1.0,1.0,8.82,8.82,13.28,13.28,1.0,1.0,1.0
traffic_data_20260526_234647,adaptive,0.9307511737089202,0.9463519313304721,8.52,7.93,13.98,13.23,0.9385515525196961,0.936991476757541,0.9354314009953859
traffic_data_20260526_235147,adaptive,0.865866957470011,0.8984152783421373,18.34,15.88,24.61,22.11,0.8821411179060741,0.8788862858188615,0.875631453731649
traffic_data_20260527_000147,baseline_more_edges_more_tls,0.95922598479613,0.9638836772983115,14.47,13.88,21.32,20.55,0.9615548310472207,0.9610890617970025,0.9606232925467845
traffic_data_20260527_000647,baseline_more_edges_more_tls,0.9854481955762514,0.9789473684210526,17.18,16.93,26.6,26.04,0.982197781998652,0.9828478647141718,0.9834979474296919
traffic_data_20260527_001147,baseline_original,0.9797235023041476,0.9857651245551602,10.85,10.63,16.86,16.62,0.9827443134296538,0.9821401512045527,0.9815359889794515
traffic_data_20260527_001647,no_control,1.0,1.0,12.27,12.27,17.64,17.64,1.0,1.0,1.0
traffic_data_20260527_002647,no_control,1.0,1.0,24.53,24.53,32.27,32.27,1.0,1.0,1.0
traffic_data_20260527_003147,no_control,1.0,1.0,16.09,16.09,22.25,22.25,1.0,1.0,1.0
traffic_data_20260527_003647,no_control,1.0,1.0,23.58,23.58,31.24,31.24,1.0,1.0,1.0
traffic_data_20260527_004147,baseline_original,0.8533134772896501,0.8929490478641278,13.43,11.46,19.43,17.35,0.873131262576889,0.8691677055194411,0.8652041484619934
traffic_data_20260527_004647,adaptive,0.9697923222152297,0.9675581971272906,31.78,30.82,40.38,39.07,0.9686752596712602,0.9688986721800541,0.969122084688848
traffic_data_20260527_005147,adaptive,0.6558333333333334,0.7163684559310802,24.0,15.74,30.18,21.62,0.6861008946322068,0.6800473823724321,0.6739938701126574
traffic_data_20260527_005647,baseline_more_edges_more_tls,0.812981298129813,0.8461227786752826,18.18,14.78,24.76,20.95,0.8295520384025479,0.8262378903480009,0.8229237422934539
traffic_data_20260527_010147,no_control,1.0,1.0,12.99,12.99,18.92,18.92,1.0,1.0,1.0
traffic_data_20260527_010647,baseline_original,0.9028322440087145,0.9291845493562232,22.95,20.72,32.62,30.31,0.9160083966824688,0.913373166147718,0.9107379356129671
traffic_data_20260527_011147,no_control,1.0,1.0,13.7,13.7,19.18,19.18,1.0,1.0,1.0
traffic_data_20260527_012147,baseline_original,0.9396887159533075,0.9651898734177216,5.14,4.83,9.48,9.15,0.9524392946855145,0.9498891789390731,0.9473390631926317
traffic_data_20260527_013147,no_control,1.0,1.0,18.2,18.2,24.38,24.38,1.0,1.0,1.0
traffic_data_20260527_014147,adaptive,0.9176220806794054,0.9328114807566863,23.55,21.61,30.66,28.6,0.9252167807180458,0.9236978407103178,0.9221789007025897
traffic_data_20260527_014647,adaptive,0.8794901506373116,0.9106982319448608,25.89,22.77,33.37,30.39,0.8950941912910861,0.8919733831603313,0.8888525750295764
traffic_data_20260527_020647,no_control,1.0,1.0,4.08,4.08,8.42,8.42,1.0,1.0,1.0
traffic_data_20260527_024147,no_control,1.0,1.0,23.03,23.03,30.72,30.72,1.0,1.0,1.0
traffic_data_20260527_031147,no_control,1.0,1.0,37.7,37.7,45.4,45.4,1.0,1.0,1.0
traffic_data_20260527_031647,baseline_more_edges,0.9641283826305853,0.9721588315837517,15.89,15.32,21.91,21.3,0.9681436071071685,0.9673405622118518,0.9665375173165353
traffic_data_20260527_032647,baseline_original,0.9646946564885496,0.989590110605075,10.48,10.11,15.37,15.21,0.9771423835468123,0.9746528381351597,0.9721632927235071
traffic_data_20260527_035147,no_control,1.0,1.0,13.18,13.18,19.94,19.94,1.0,1.0,1.0
traffic_data_20260527_050148,baseline_more_edges,0.8438287153652392,0.8732122149207576,19.85,16.75,25.87,22.59,0.8585204651429984,0.8555821151874465,0.8526437652318947
traffic_data_20260527_051648,baseline_original,0.9300528670191135,0.9388020833333334,24.59,22.87,30.72,28.84,0.9344274751762234,0.9335525535448015,0.9326776319133794
traffic_data_20260527_052148,adaptive,0.9282920469361148,0.951946975973488,7.67,7.12,12.07,11.49,0.9401195114548013,0.9377540185510641,0.9353885256473268
traffic_data_20260527_053148,adaptive,0.8781645569620252,0.9119427627958172,12.64,11.1,18.17,16.57,0.8950536598789212,0.891675839295542,0.8882980187121629
traffic_data_20260527_053648,no_control,1.0,1.0,12.1,12.1,18.25,18.25,1.0,1.0,1.0
traffic_data_20260527_054148,adaptive,0.8547854785478547,0.8794096472282217,21.21,18.13,27.78,24.43,0.8670975628880382,0.8646351460200015,0.8621727291519647
traffic_data_20260527_054648,baseline_original,0.9138082673702728,0.9400465657741559,11.37,10.39,17.18,16.15,0.9269274165722143,0.9243035867318261,0.9216797568914377
traffic_data_20260527_055148,baseline_more_edges,0.8273638968481375,0.8831494483450351,13.96,11.55,19.94,17.61,0.8552566725965862,0.8496781174468966,0.8440995622972068
traffic_data_20260527_055648,no_control,1.0,1.0,19.45,19.45,26.04,26.04,1.0,1.0,1.0
traffic_data_20260527_060648,baseline_more_edges_more_tls,0.8355691835952472,0.8704932218055955,26.09,21.8,34.67,30.18,0.8530312027004214,0.8495387988793865,0.8460463950583518
traffic_data_20260527_061148,baseline_more_edges_more_tls,0.6887104393008975,0.7491349480968859,21.17,14.58,28.9,21.65,0.7189226936988917,0.7128802428192929,0.706837791939694
traffic_data_20260527_061648,baseline_more_edges,0.9864406779661018,0.9858299595141701,17.7,17.46,24.7,24.35,0.9861353187401359,0.986196390585329,0.9862574624305223
traffic_data_20260527_062148,no_control,1.0,1.0,9.38,9.38,14.53,14.53,1.0,1.0,1.0
traffic_data_20260527_062648,no_control,1.0,1.0,17.48,17.48,24.09,24.09,1.0,1.0,1.0
traffic_data_20260527_063148,baseline_more_edges,0.9072494669509594,0.9409746053534661,9.38,8.51,14.57,13.71,0.9241120361522128,0.9207395223119621,0.9173670084717114
traffic_data_20260527_063648,baseline_more_edges_more_tls,0.9185555128697657,0.9352353780313838,26.03,23.91,35.05,32.78,0.9268954454505747,0.9252274589344129,0.9235594724182512
traffic_data_20260527_064148,baseline_more_edges,0.8492113564668771,0.8707805907172995,47.55,40.38,56.88,49.53,0.8599959735920883,0.8578390501670461,0.8556821267420038
traffic_data_20260527_064648,no_control,1.0,1.0,17.32,17.32,24.34,24.34,1.0,1.0,1.0
traffic_data_20260527_065148,baseline_original,0.9823747680890539,0.9856523189856523,21.56,21.18,29.97,29.54,0.9840135435373532,0.9836857884476933,0.9833580333580334
traffic_data_20260527_065648,baseline_original,0.9390243902439025,0.955951756685894,31.16,29.26,38.14,36.46,0.9474880734648983,0.9457953368206992,0.9441026001765
traffic_data_20260527_070148,baseline_original,1.0,0.9934971098265896,8.72,8.72,13.84,13.75,0.9967485549132948,0.9973988439306358,0.9980491329479768
traffic_data_20260527_070648,baseline_original,0.6120942782318863,0.6362497235940149,126.01,77.13,135.67,86.32,0.6241720009129506,0.6217564563767377,0.6193409118405249
traffic_data_20260527_071148,adaptive,0.8248101265822785,0.8645833333333333,19.75,16.29,26.88,23.24,0.8446967299578059,0.8407194092827004,0.8367420886075949
traffic_data_20260527_071648,baseline_more_edges_more_tls,0.7454396392703423,0.7630619684082625,48.79,36.37,57.61,43.96,0.7542508038393023,0.7524885709255104,0.7507263380117183
traffic_data_20260527_072148,baseline_more_edges_more_tls,0.9730743012951603,0.9692389286661363,29.34,28.55,37.71,36.55,0.9711566149806483,0.9715401522435506,0.9719236895064531
traffic_data_20260527_072648,adaptive,0.8783888458559256,0.9203771608171818,12.91,11.34,19.09,17.57,0.8993830033365537,0.8951841718404281,0.8909853403443024
traffic_data_20260527_073148,adaptive,0.8544336237826756,0.8896864374763884,19.51,16.67,26.47,23.55,0.8720600306295321,0.8685347492601607,0.8650094678907894
traffic_data_20260527_073648,baseline_more_edges_more_tls,0.9532971067704508,0.9578328328328328,68.09,64.91,79.92,76.55,0.9555649698016417,0.9551113971954036,0.9546578245891654
traffic_data_20260527_074148,adaptive,0.9060379328345224,0.9145527369826435,57.47,52.07,67.41,61.65,0.9102953349085829,0.9094438544937709,0.9085923740789588
traffic_data_20260527_074648,baseline_original,0.9394455252918289,0.9506784011734507,41.12,38.63,54.54,51.85,0.9450619632326398,0.9439386756444776,0.9428153880563155
traffic_data_20260527_075148,baseline_more_edges_more_tls,0.9186991869918699,0.9284920340866988,20.91,19.21,26.99,25.06,0.9235956105392844,0.9226163258298015,0.9216370411203185
traffic_data_20260527_075648,baseline_more_edges_more_tls,0.9724991958829206,0.9732494099134539,62.18,60.47,76.26,74.22,0.9728743028981872,0.9727992814951338,0.9727242600920806
traffic_data_20260527_080148,adaptive,0.9547665369649806,0.9712820512820513,20.56,19.63,29.25,28.41,0.9630242941235159,0.9613727426918088,0.9597211912601018
traffic_data_20260527_080648,baseline_original,0.8755072463768115,0.9093453394986615,69.0,60.41,82.18,74.73,0.8924262929377365,0.8890424836255515,0.8856586743133665
traffic_data_20260527_081148,baseline_more_edges_more_tls,0.8847546921303918,0.9118764244112433,30.37,26.87,39.49,36.01,0.8983155582708175,0.8956033850427323,0.8928912118146473
traffic_data_20260527_081648,adaptive,0.9785534062237173,0.9797273680531283,23.78,23.27,28.61,28.03,0.9791403871384228,0.9790229909554817,0.9789055947725407
traffic_data_20260527_082148,baseline_more_edges_more_tls,0.8817480719794344,0.8824330458465729,77.8,68.6,88.12,77.76,0.8820905589130037,0.8820220615262898,0.8819535641395759
