junction_id,tls_id,icid,name,x,y,connections
3086736518,joinedS_3086736518_655375232_655375233,IK9KC,八德路二段-市民三段,573.15,435.26,43
3208478121,3208478121,,,742.06,292.27,5
619136999,619136999,,,795.46,295.24,6
622618015,joinedS_622618015_622618108_622618112_622618144_622618197_622618230,IK7KP,建國南一段-市民三段,799.24,409.23,48
622618108,joinedS_622618015_622618108_622618112_622618144_622618197_622618230,IK7KP,建國南一段-市民三段,744.11,412.79,48
622618112,joinedS_622618015_622618108_622618112_622618144_622618197_622618230,IK7KP,建國南一段-市民三段,743.70,399.82,48
622618144,joinedS_622618015_622618108_622618112_622618144_622618197_622618230,IK7KP,建國南一段-市民三段,799.50,418.61,48
622618197,joinedS_622618015_622618108_622618112_622618144_622618197_622618230,IK7KP,建國南一段-市民三段,798.74,396.17,48
622618230,joinedS_622618015_622618108_622618112_622618144_622618197_622618230,IK7KP,建國南一段-市民三段,744.39,422.65,48
655375232,joinedS_3086736518_655375232_655375233,IK9KC,八德路二段-市民三段,583.49,442.75,43
655375233,joinedS_3086736518_655375232_655375233,IK9KC,八德路二段-市民三段,558.26,423.19,43
655375239,joinedS_655375228_655375239_655375240,IJTJ9,八德路一段-金山北路,117.55,300.40,27
655375241,655375241,IJTJ8,忠孝東二段--八德路一段,0.00,270.88,1
cluster3086736522_655375108_655375247_655375401_#1more,cluster3086736522_655375108_655375247_655375401_#1more,IKGJI,市民二段-金山北路,177.65,556.50,32
cluster619136880_619136881_cluster_4510442270_5296993511_5296993513_619136931_#1more,J0,IJHKR,忠孝東三段-建國南一段,838.08,68.77,3
cluster619136899_619136900_cluster_619136929_619136942,cluster619136899_619136900_cluster_619136929_619136942,IJHKR,忠孝東三段-建國南一段,794.09,74.74,41
cluster655375228_655375240,joinedS_655375228_655375239_655375240,IJTJ9,八德路一段-金山北路,92.90,294.21,27
cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more,cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more,IKJJP,市民三段-松江路,395.23,489.29,42
cluster_2038168688_655375573,cluster_2038168688_655375573,IJQJI,忠孝東二段-臨沂街,174.73,209.64,29
cluster_2528018119_655375236,cluster_2528018119_655375236,IK5JW,八德路一段-新生南一段,395.56,371.88,25
cluster_2664674491_655375287_655375288,joinedS_655375286_cluster_2664674491_655375287_655375288,IKEJW,渭水街-松江路,219.17,625.81,6
cluster_3208478133_655375293_655375296_9631728504_#1more,joinedS_3086736519_3086736520_631668954_631668971_#3more,IKEJW,渭水街-松江路,396.18,533.96,23
cluster_3431431575_4777363357_655375231_6982059025,cluster_3431431575_4777363357_655375231_6982059025,IKEKH,八德路二段-渭水路,675.54,510.70,13
cluster_4374470814_4374470816_656132411_656132475,cluster_4374470814_4374470816_656132411_656132475,IKXJW,長安東二段-松江路,402.66,678.20,9
cluster_5372642442_631668976_631668981_631669076,cluster_5372642442_631668976_631668981_631669076,IJLJW,忠孝東二段-新生南一段,386.47,144.80,26
cluster_623980090_623980094,cluster_623980090_623980094,IKGKP,八德路二段-建國北一段,801.71,560.23,12
cluster_623980147_623980152,cluster_623980147_623980152,IKGKP,八德路二段-建國北一段,749.98,549.46,16
cluster_9383263990_9383263991_9383263992_9383263993,GS_cluster_9383263990_9383263991_9383263992_9383263993,IJSJD,忠孝東二段-金山南一段,86.66,237.20,20
