Detector;Time;qPKW;vPKW
ZJHKR40;0.00;61;34.64
ZJ7KV40_ZINKW40;0.00;61;38.4
ZJSJD40;0.00;83;20.47
ZK5JW60;0.00;33;30.55
ZK7K820;0.00;13;36.0
Z7230E0_ZK7KP40;0.00;68;35.0
ZJHKR20_ZJWJ740;0.00;115;41.38
ZKJJP20;0.00;202;42.07
ZK9KC60;0.00;123;42.8
ZJTJ960;0.00;33;41.0
ZJQJI20;0.00;93;45.11
ZJTJ820;0.00;130;43.25
ZJHKR40;5.00;57;32.88
ZJ7KV40_ZINKW40;5.00;73;40.4
ZJSJD40;5.00;102;15.9
ZK5JW60;5.00;49;32.55
ZK7K820;5.00;22;33.82
Z7230E0_ZK7KP40;5.00;71;36.1
ZJHKR20_ZJWJ740;5.00;79;37.83
ZKJJP20;5.00;110;44.72
ZK9KC60;5.00;95;38.83
ZJTJ960;5.00;42;39.52
ZJQJI20;5.00;95;41.28
ZJTJ820;5.00;121;49.17
ZJHKR40;10.00;62;30.98
ZJ7KV40_ZINKW40;10.00;68;41.03
ZJSJD40;10.00;87;17.97
ZK5JW60;10.00;55;34.65
ZK7K820;10.00;30;32.0
Z7230E0_ZK7KP40;10.00;85;35.87
ZJHKR20_ZJWJ740;10.00;80;42.17
ZKJJP20;10.00;124;41.01
ZK9KC60;10.00;77;30.57
ZJTJ960;10.00;37;45.35
ZJQJI20;10.00;69;44.88
ZJTJ820;10.00;135;44.84
ZJHKR40;25.00;76;37.12
ZJ7KV40_ZINKW40;25.00;66;40.37
ZJSJD40;25.00;98;19.45
ZK5JW60;25.00;25;36.88
ZK7K820;25.00;21;41.33
Z7230E0_ZK7KP40;25.00;64;36.58
ZJHKR20_ZJWJ740;25.00;106;40.95
ZKJJP20;25.00;172;42.27
ZK9KC60;25.00;171;28.13
ZJTJ960;25.00;29;30.62
ZJQJI20;25.00;102;44.27
ZJTJ820;25.00;157;44.33
ZJHKR40;30.00;60;34.38
ZJ7KV40_ZINKW40;30.00;65;42.45
ZJSJD40;30.00;94;23.94
ZK5JW60;30.00;52;31.87
ZK7K820;30.00;22;37.64
Z7230E0_ZK7KP40;30.00;85;35.44
ZJHKR20_ZJWJ740;30.00;90;42.05
ZKJJP20;30.00;128;43.36
ZK9KC60;30.00;81;28.19
ZJTJ960;30.00;33;42.97
ZJQJI20;30.00;89;45.12
ZJTJ820;30.00;154;45.62
ZJHKR40;35.00;84;34.02
ZJ7KV40_ZINKW40;35.00;81;40.02
ZJSJD40;35.00;98;22.81
ZK5JW60;35.00;43;31.67
ZK7K820;35.00;22;37.5
Z7230E0_ZK7KP40;35.00;76;40.36
ZJHKR20_ZJWJ740;35.00;73;38.62
ZKJJP20;35.00;108;37.39
ZK9KC60;35.00;92;40.09
ZJTJ960;35.00;32;39.28
ZJQJI20;35.00;89;47.15
ZJTJ820;35.00;128;43.99
ZJHKR40;40.00;67;36.61
ZJ7KV40_ZINKW40;40.00;72;41.87
ZJSJD40;40.00;81;24.43
ZK5JW60;40.00;51;26.06
ZK7K820;40.00;24;36.96
Z7230E0_ZK7KP40;40.00;75;40.81
ZJHKR20_ZJWJ740;40.00;102;40.72
ZKJJP20;40.00;121;41.01
ZK9KC60;40.00;83;35.57
ZJTJ960;40.00;37;44.95
ZJQJI20;40.00;76;44.05
ZJTJ820;40.00;144;45.95
ZJHKR40;45.00;77;34.81
ZJ7KV40_ZINKW40;45.00;68;36.98
ZJSJD40;45.00;110;19.52
ZK5JW60;45.00;21;33.43
ZK7K820;45.00;15;35.47
Z7230E0_ZK7KP40;45.00;71;37.45
ZJHKR20_ZJWJ740;45.00;100;41.33
ZKJJP20;45.00;154;45.07
ZK9KC60;45.00;144;38.67
ZJTJ960;45.00;22;44.05
ZJQJI20;45.00;106;43.92
ZJTJ820;45.00;151;41.09
ZJHKR40;50.00;55;35.93
ZJ7KV40_ZINKW40;50.00;86;34.91
ZJSJD40;50.00;93;21.81
ZK5JW60;50.00;55;34.15
ZK7K820;50.00;22;33.32
Z7230E0_ZK7KP40;50.00;79;40.03
ZJHKR20_ZJWJ740;50.00;97;41.32
ZKJJP20;50.00;124;38.18
ZK9KC60;50.00;95;38.96
ZJTJ960;50.00;37;43.97
ZJQJI20;50.00;91;45.85
ZJTJ820;50.00;146;42.29
ZJHKR40;55.00;79;34.04
ZJ7KV40_ZINKW40;55.00;66;41.11
ZJSJD40;55.00;84;26.23
ZK5JW60;55.00;21;39.76
ZK7K820;55.00;20;43.15
Z7230E0_ZK7KP40;55.00;80;39.74
ZJHKR20_ZJWJ740;55.00;95;44.78
ZKJJP20;55.00;148;41.27
ZK9KC60;55.00;138;39.45
ZJTJ960;55.00;37;40.68
ZJQJI20;55.00;122;43.52
ZJTJ820;55.00;130;43.18
ZJHKR40;60.00;56;32.59
ZJ7KV40_ZINKW40;60.00;54;38.87
ZJSJD40;60.00;110;19.63
ZK5JW60;60.00;33;34.94
ZK7K820;60.00;17;34.88
Z7230E0_ZK7KP40;60.00;70;39.16
ZJHKR20_ZJWJ740;60.00;105;43.86
ZKJJP20;60.00;139;44.05
ZK9KC60;60.00;132;39.83
ZJTJ960;60.00;50;35.62
ZJQJI20;60.00;70;43.97
ZJTJ820;60.00;127;45.43
ZJHKR40;65.00;82;36.45
ZJ7KV40_ZINKW40;65.00;78;41.29
ZJSJD40;65.00;78;21.19
ZK5JW60;65.00;36;30.78
ZK7K820;65.00;25;43.64
Z7230E0_ZK7KP40;65.00;74;39.72
ZJHKR20_ZJWJ740;65.00;89;39.18
ZKJJP20;65.00;100;43.41
ZK9KC60;65.00;94;41.03
ZJTJ960;65.00;24;44.54
ZJQJI20;65.00;110;37.34
ZJTJ820;65.00;113;44.34
ZJHKR40;70.00;59;34.31
ZJ7KV40_ZINKW40;70.00;45;40.36
ZJSJD40;70.00;95;24.06
ZK5JW60;70.00;36;29.14
ZK7K820;70.00;24;38.79
Z7230E0_ZK7KP40;70.00;64;39.43
ZJHKR20_ZJWJ740;70.00;108;41.58
ZKJJP20;70.00;158;42.32
ZK9KC60;70.00;133;38.69
ZJTJ960;70.00;28;41.75
ZJQJI20;70.00;82;40.6
ZJTJ820;70.00;149;40.01
ZJHKR40;75.00;91;36.09
ZJ7KV40_ZINKW40;75.00;85;42.05
ZJSJD40;75.00;75;22.31
ZK5JW60;75.00;32;34.91
ZK7K820;75.00;17;37.47
Z7230E0_ZK7KP40;75.00;78;38.43
ZJHKR20_ZJWJ740;75.00;81;44.02
ZKJJP20;75.00;101;44.45
ZK9KC60;75.00;97;40.08
ZJTJ960;75.00;20;41.65
ZJQJI20;75.00;94;45.8
ZJTJ820;75.00;158;40.54
ZJHKR40;80.00;75;31.83
ZJ7KV40_ZINKW40;80.00;50;38.12
ZJSJD40;80.00;93;24.32
ZK5JW60;80.00;51;32.43
ZK7K820;80.00;18;40.39
Z7230E0_ZK7KP40;80.00;60;37.52
ZJHKR20_ZJWJ740;80.00;122;40.4
ZKJJP20;80.00;177;45.38
ZK9KC60;80.00;144;39.23
ZJTJ960;80.00;34;41.76
ZJQJI20;80.00;93;45.92
ZJTJ820;80.00;141;45.5
ZJHKR40;85.00;93;34.26
ZJ7KV40_ZINKW40;85.00;87;36.94
ZJSJD40;85.00;83;23.12
ZK5JW60;85.00;31;23.74
ZK7K820;85.00;19;36.37
Z7230E0_ZK7KP40;85.00;77;39.32
ZJHKR20_ZJWJ740;85.00;71;41.29
ZKJJP20;85.00;117;40.58
ZK9KC60;85.00;100;38.49
ZJTJ960;85.00;25;39.6
ZJQJI20;85.00;91;41.0
ZJTJ820;85.00;128;44.21
ZJHKR40;90.00;73;33.81
ZJ7KV40_ZINKW40;90.00;53;34.56
ZJSJD40;90.00;87;23.39
ZK5JW60;90.00;44;34.66
ZK7K820;90.00;19;41.11
Z7230E0_ZK7KP40;90.00;74;37.01
ZJHKR20_ZJWJ740;90.00;105;41.5
ZKJJP20;90.00;163;44.44
ZK9KC60;90.00;121;37.05
ZJTJ960;90.00;32;48.06
ZJQJI20;90.00;91;44.3
ZJTJ820;90.00;136;47.35
ZJHKR40;95.00;74;33.58
ZJ7KV40_ZINKW40;95.00;91;38.49
ZJSJD40;95.00;92;28.04
ZK5JW60;95.00;27;33.37
ZK7K820;95.00;20;38.1
Z7230E0_ZK7KP40;95.00;76;40.13
ZJHKR20_ZJWJ740;95.00;94;41.43
ZKJJP20;95.00;98;47.68
ZK9KC60;95.00;96;39.25
ZJTJ960;95.00;13;40.38
ZJQJI20;95.00;109;45.37
ZJTJ820;95.00;117;46.29
ZJHKR40;100.00;44;32.32
ZJ7KV40_ZINKW40;100.00;48;37.53
ZJSJD40;100.00;81;20.7
ZK5JW60;100.00;32;34.0
ZK7K820;100.00;27;38.81
Z7230E0_ZK7KP40;100.00;68;37.78
ZJHKR20_ZJWJ740;100.00;119;44.63
ZKJJP20;100.00;169;41.99
ZK9KC60;100.00;136;39.85
ZJTJ960;100.00;28;42.07
ZJQJI20;100.00;111;41.02
ZJTJ820;100.00;134;46.88
ZJHKR40;105.00;107;35.18
ZJ7KV40_ZINKW40;105.00;93;37.55
ZJSJD40;105.00;99;20.97
ZK5JW60;105.00;31;39.26
ZK7K820;105.00;27;41.0
Z7230E0_ZK7KP40;105.00;73;38.15
ZJHKR20_ZJWJ740;105.00;70;39.19
ZKJJP20;105.00;99;45.15
ZK9KC60;105.00;82;41.83
ZJTJ960;105.00;24;48.62
ZJQJI20;105.00;115;41.6
ZJTJ820;105.00;127;43.52
ZJHKR40;110.00;72;26.18
ZJ7KV40_ZINKW40;110.00;49;38.52
ZJSJD40;110.00;90;22.2
ZK5JW60;110.00;37;32.22
ZK7K820;110.00;18;48.67
