"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度_自動(km)","紫外線指數","總雲量_衛星(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","VisbMean Auto","UVI","Cloud Amount Sat","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1020.0","1023.7","15.1","12.1","82","3.3","114","9.1","100","0.0","0.0","0.0","0.00","26.3","0","9.0","/","/","/","/","/","/","/"
"02","1019.3","1023.0","15.3","12.4","83","3.2","105","8.9","85","0.0","0.0","0.0","0.00","29.5","0","8.0","/","/","/","/","/","/","/"
"03","1018.8","1022.5","15.7","12.5","81","3.2","112","9.8","133","0.0","0.0","0.0","0.00","31.2","0","7.0","/","/","/","/","/","/","/"
"04","1018.3","1022.0","15.5","13.0","85","3.7","118","9.0","122","0.0","0.0","0.0","0.00","29.0","0","7.0","/","/","/","/","/","/","/"
"05","1018.6","1022.3","15.8","13.3","85","1.7","112","9.7","107","0.0","0.0","0.0","0.00","30.9","0","--","/","/","/","/","/","/","/"
"06","1018.7","1022.3","16.5","13.2","81","3.4","113","8.2","92","0.0","0.0","0.0","0.00","31.7","0","9.0","/","/","/","/","/","/","/"
"07","1018.7","1022.3","17.0","13.1","78","3.2","105","7.9","124","0.0","0.0","0.0","0.05","34.8","0","9.0","/","/","/","/","/","/","/"
"08","1019.7","1023.3","17.8","13.9","78","3.3","109","7.8","83","0.0","0.0","0.0","0.43","29.6","1","9.0","/","/","/","/","/","/","/"
"09","1019.6","1023.2","18.0","13.9","77","3.8","98","11.7","83","0.0","0.0","0.0","0.87","29.5","2","10.0","/","/","/","/","/","/","/"
"10","1020.0","1023.6","17.9","13.8","77","4.2","102","10.0","74","0.0","0.0","0.0","0.89","26.6","3","10.0","/","/","/","/","/","/","/"
"11","1019.6","1023.2","18.6","13.5","72","5.1","98","11.1","95","0.0","0.0","0.1","1.62","31.3","5","10.0","/","/","/","/","/","/","/"
"12","1018.8","1022.4","18.5","14.0","75","4.2","97","11.0","116","0.0","0.0","0.5","2.63","36.4","8","10.0","/","/","/","/","/","/","/"
"13","1018.3","1021.9","17.9","13.4","75","3.7","96","11.3","95","0.0","0.0","0.0","1.18","34.1","4","10.0","/","/","/","/","/","/","/"
"14","1017.4","1021.0","18.4","13.7","74","4.2","103","11.7","97","0.0","0.0","0.6","2.48","45.7","7","10.0","/","/","/","/","/","/","/"
"15","1017.2","1020.8","17.8","13.5","76","4.0","97","12.7","111","0.0","0.0","0.5","1.93","44.7","5","10.0","/","/","/","/","/","/","/"
"16","1017.2","1020.8","17.3","13.6","79","4.0","106","12.1","95","0.0","0.0","0.0","0.77","48.3","2","10.0","/","/","/","/","/","/","/"
"17","1017.6","1021.2","16.9","14.0","83","2.6","116","9.5","105","0.0","0.0","0.0","0.31","40.8","1","10.0","/","/","/","/","/","/","/"
"18","1017.8","1021.4","16.5","14.2","86","3.4","103","9.6","88","0.0","0.0","0.0","0.07","27.3","0","8.0","/","/","/","/","/","/","/"
"19","1018.1","1021.7","16.5","14.5","88","3.7","101","9.1","98","0.0","0.0","0.0","0.00","11.3","0","8.0","/","/","/","/","/","/","/"
"20","1018.2","1021.8","16.8","14.8","88","3.7","108","9.5","98","T","0.1","0.0","0.00","13.9","0","8.0","/","/","/","/","/","/","/"
"21","1018.5","1022.1","16.8","14.8","88","3.9","103","9.9","80","T","0.2","0.0","0.00","10.3","0","8.0","/","/","/","/","/","/","/"
"22","1018.8","1022.4","16.7","14.9","89","4.4","102","10.3","101","T","0.3","0.0","0.00","12.7","0","8.0","/","/","/","/","/","/","/"
"23","1019.0","1022.6","16.9","15.1","89","3.5","100","8.5","101","T","0.2","0.0","0.00","10.6","0","9.0","/","/","/","/","/","/","/"
"24","1019.0","1022.6","16.9","15.1","89","3.1","105","11.1","91","T","0.2","0.0","0.00","13.2","0","10.0","/","/","/","/","/","/","/"
