junction_id,tls_id,icid,name,x,y,connections
10178429922,10178429922,,,1821.13,1279.33,4
10834224418,10834224418,,,470.02,2015.33,3
11224250307,joinedS_11224250307_4375805940_4504820336_631822079_#2more,,,2347.17,1747.00,16
1140226515,1140226515,,,1126.13,1318.41,4
1140226550,1140226550,,,1172.60,1318.60,3
1140228862,1140228862,,,1303.44,1269.02,4
1140228864,1140228864,,,1341.56,1271.46,3
11510670762,joinedS_11510670762_3086736519_3086736520_3208478133_#21more,,,1958.98,1464.37,97
12185478575,joinedS_12185478575_1720485444_346114642_4514904152_#7more,,,783.29,684.04,45
1223756314,joinedS_1223756314_1223757286_2766951689_5247481909_#5more,,,967.72,662.36,28
1223756843,joinedS_1223756843_1446745543_6205739246_7723490183_#1more,,,904.40,431.90,19
1223757286,joinedS_1223756314_1223757286_2766951689_5247481909_#5more,,,974.00,685.21,28
12463368425,12463368425,,,1055.77,1674.96,3
12702149426,12702149426,,,3422.25,2091.70,2
13252372697,13252372697,,,1886.14,1086.05,4
13252372699,13252372699,,,1964.15,1083.77,3
13252373201,13252373201,,,1940.36,1052.66,1
13266803207,13266803207,,,3493.38,971.19,5
13275315722,joinedS_13275315722_6257336156,,,3421.70,568.82,1
13338382364,13338382364,,,1363.55,1443.47,4
13377838020,joinedS_13377838020_13377838031_13377838038_13377838039_#10more,,,1928.75,856.30,43
13377838023,13377838023,,,1928.86,1052.84,2
13377838025,13377838025,,,1929.08,1057.08,2
13377838029,joinedS_13377838029_13377838034_13377838040_13377838070_#18more,,,1931.90,651.62,70
13377838031,joinedS_13377838020_13377838031_13377838038_13377838039_#10more,,,1935.98,834.14,43
13377838034,joinedS_13377838029_13377838034_13377838040_13377838070_#18more,,,1925.07,650.77,70
13377838038,joinedS_13377838020_13377838031_13377838038_13377838039_#10more,,,1927.45,824.97,43
13377838039,joinedS_13377838020_13377838031_13377838038_13377838039_#10more,,,1927.87,834.24,43
13377838040,joinedS_13377838029_13377838034_13377838040_13377838070_#18more,,,1931.75,603.40,70
13377838055,joinedS_13377838020_13377838031_13377838038_13377838039_#10more,,,1935.75,824.77,43
13377838056,joinedS_13377838020_13377838031_13377838038_13377838039_#10more,,,1953.74,845.24,43
13377838057,joinedS_13377838020_13377838031_13377838038_13377838039_#10more,,,1898.15,846.66,43
