time,edge_id,vehicle_count
60.0,-360018417,1
60.0,-51362429#1,1
60.0,-51362430,1
60.0,-593847703#3,4
60.0,-E0,2
60.0,1068234498#0,6
60.0,1068440001,1
60.0,1068440004#1,7
60.0,1068440006#0,2
60.0,1334905223#0,1
60.0,182334378#0,4
60.0,196961377#0,1
60.0,238526531#0,1
60.0,244450512#1,3
60.0,260881642#0,3
60.0,288135626#0,1
60.0,288135628#0,1
60.0,300077497#0,3
60.0,30620492#0,11
60.0,30620492#1,5
60.0,506322842#0,2
60.0,506322844#0,6
60.0,506322846#2,3
60.0,51362429#0,3
60.0,593849711#2,1
60.0,594658757#0,2
60.0,594658762#0,1
60.0,:cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more_12,1
60.0,:cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more_25,2
60.0,:cluster_2528018119_655375236_17,1
60.0,:cluster_2528018119_655375236_19,1
60.0,:cluster_2528018119_655375236_3,1
60.0,:cluster_3431431575_4777363357_655375231_6982059025_5,1
60.0,:cluster_5372642442_631668976_631668981_631669076_26,1
60.0,:cluster_5372642442_631668976_631668981_631669076_45,2
60.0,E0,1
80.0,-360018417,1
80.0,-51362429#1,3
80.0,-51362430,2
80.0,-594658757#2,4
80.0,-E0,4
80.0,1068234498#0,2
80.0,1068234499#0,2
80.0,1068440004#1,8
80.0,1068440006#0,2
80.0,1334904386#0,1
80.0,182334378#0,1
80.0,196961377#0,2
80.0,232003903#0,1
80.0,238526531#0,9
80.0,260881642#0,2
80.0,300077497#0,1
80.0,30620492#0,16
80.0,30620492#1,5
80.0,35274074#0,2
80.0,48794887#0,1
80.0,49073226#2,2
80.0,49695736#0,3
80.0,506322841#3,1
80.0,506322842#0,4
80.0,506322844#0,6
80.0,506322846#2,5
80.0,51362429#0,6
80.0,593844221#0,1
80.0,593847702#0,1
80.0,593847705,1
80.0,593849711#2,2
80.0,594658757#0,2
80.0,594658762#0,2
80.0,:655375233_2,1
80.0,:cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more_40,1
80.0,:cluster_2038168688_655375573_3,1
80.0,:cluster_2664674491_655375287_655375288_5,1
80.0,:cluster_5372642442_631668976_631668981_631669076_45,1
80.0,E0,1
100.0,-300077497#5,1
100.0,-300077497#8,1
100.0,-35274074#2,2
100.0,-51362430,1
100.0,-594658757#2,5
100.0,-E0,6
100.0,1068234498#0,4
100.0,1068234499#0,1
100.0,1068440001,1
100.0,1068440004#1,1
100.0,1068440006#0,2
100.0,1334904386#0,2
100.0,182334378#0,1
100.0,186602412#0,1
100.0,196961377#0,3
100.0,232003903#0,2
100.0,238526531#0,3
100.0,244450512#1,1
100.0,260881642#0,1
100.0,263217604#0,1
100.0,288878926#0,3
100.0,300077497#0,2
100.0,30620492#0,18
100.0,30620492#1,5
100.0,35274074#0,1
100.0,48794887#0,1
100.0,49073226#2,2
100.0,49073272#1,2
100.0,49073272#4,1
100.0,506322844#0,2
100.0,506322846#0,5
100.0,506322846#2,2
100.0,506322848#0,2
100.0,506322851#0,1
100.0,51362429#0,7
100.0,593847702#0,6
100.0,593847705,1
100.0,593849711#2,3
100.0,594658757#0,2
100.0,594658760#0,1
100.0,594658762#0,1
100.0,:1973482489_8,1
100.0,:655375233_8,2
100.0,:655375238_5,1
100.0,:655375239_5,1
100.0,:cluster3086736522_655375108_655375247_655375401_#1more_8,1
100.0,:cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more_25,1
100.0,:cluster_2038168688_655375573_17,1
100.0,:cluster_2038168688_655375573_21,1
100.0,:cluster_2038168688_655375573_8,1
100.0,:cluster_2038168688_655375573_9,1
100.0,:cluster_2528018119_655375236_12,2
100.0,:cluster_2528018119_655375236_20,1
100.0,:cluster_2528018119_655375236_32,1
100.0,:cluster_3208478133_655375293_655375296_9631728504_#1more_8,1
100.0,:cluster_9383263990_9383263991_9383263992_9383263993_7,2
120.0,-1334905223#2,1
120.0,-300077497#5,9
120.0,-300077497#8,1
120.0,-35274074#2,5
120.0,-51362430,1
120.0,-594658757#2,4
120.0,-E0,8
120.0,1068234498#0,8
120.0,1068440001,1
120.0,1068440004#1,3
120.0,1068440006#0,1
120.0,1334904386#0,1
120.0,182334378#0,2
120.0,186602412#0,1
120.0,196961377#0,4
120.0,232003903#0,3
120.0,244450512#1,1
120.0,260881642#0,2
120.0,263217603#0,1
120.0,263217604#0,1
120.0,288135626#0,1
120.0,288878926#0,5
120.0,300077497#0,6
120.0,303647015#0,1
120.0,30620492#0,18
120.0,30620492#1,5
120.0,35274074#0,1
120.0,484988951#0,1
120.0,49073272#3,2
120.0,506322840#0,1
120.0,506322842#0,1
120.0,506322844#0,2
120.0,506322846#2,2
120.0,506322851#0,3
120.0,506322853#0,1
