time,edge_id,vehicle_count
2200.0,30620492#0,10.4892
2200.0,30620492#1,3.9787
2200.0,-300077497#5,2.2013
2200.0,263217604#0,0.9809
2200.0,-593847703#3,0.5774
2200.0,506322844#0,0.3974
2200.0,-E0,0.2474
2200.0,594658760#0,0.2144
2200.0,594658757#0,0.1863
2200.0,288135626#0,0.1502
2200.0,:3086736518_6,0.1103
2200.0,593847703#0,0.076
2200.0,:2749340167_0,0.0669
2200.0,:cluster_9383263990_9383263991_9383263992_9383263993_13,0.0586
2200.0,360843888,0.0404
2200.0,49073226#2,0.0315
2200.0,506322842#0,0.0295
2200.0,244450512#5,0.0289
2200.0,300077497#0,0.0256
2200.0,506322846#0,0.0256
2200.0,51362429#0,0.0239
2200.0,186602412#0,0.0235
2200.0,49073272#3,0.0199
2200.0,593847702#0,0.0179
2200.0,:3086736518_0,0.017
2200.0,:cluster_9383263990_9383263991_9383263992_9383263993_21,0.0164
2200.0,:3086736518_4,0.0144
2200.0,:cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more_39,0.0139
2200.0,:cluster11510670762_4554226152_0,0.0138
2200.0,182334378#0,0.0136
2200.0,:cluster622618015_622618108_622618112_622618144_#2more_37,0.0123
2200.0,:3208478128_0,0.0103
2200.0,:cluster_3208478133_655375293_655375296_9631728504_#1more_8,0.0103
2200.0,:1973482489_3,0.0092
2200.0,:655375233_4,0.0091
2200.0,:cluster_5372642442_631668976_631668981_631669076_47,0.0085
2200.0,:1973482489_8,0.0071
2200.0,:cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more_5,0.007
2200.0,:cluster3086736522_655375108_655375247_655375401_#1more_17,0.0068
2200.0,:cluster622618015_622618108_622618112_622618144_#2more_26,0.0067
2220.0,30620492#0,9.1503
2220.0,30620492#1,2.9674
2220.0,-593847703#3,2.4415
2220.0,506322844#0,1.6446
2220.0,:cluster_9383263990_9383263991_9383263992_9383263993_13,0.6673
2220.0,263217604#0,0.6582
2220.0,:cluster_2528018119_655375236_17,0.4764
2220.0,-300077497#5,0.3415
2220.0,594658760#0,0.2768
2220.0,594658757#0,0.2129
2220.0,182334378#0,0.166
2220.0,1068234499#0,0.1267
2220.0,:2749340167_0,0.1115
2220.0,-E0,0.1023
2220.0,506322842#0,0.0949
2220.0,593847703#0,0.0706
2220.0,49073226#2,0.0527
2220.0,:cluster_2528018119_655375236_31,0.0503
2220.0,:655375233_4,0.0471
2220.0,288878926#0,0.0457
2220.0,:cluster_2528018119_655375236_19,0.0451
2220.0,:cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more_17,0.0364
2220.0,360843888,0.0362
2220.0,244450512#5,0.0361
2220.0,:cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more_5,0.0351
2220.0,593847702#0,0.0255
2220.0,288135626#0,0.0254
2220.0,:3086736518_6,0.0244
2220.0,:cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more_39,0.0242
2220.0,593847704#0,0.024
2220.0,:cluster3086736522_655375108_655375247_655375401_#1more_14,0.0235
2220.0,300077497#0,0.0226
2220.0,:cluster_623980147_623980152_9,0.0212
2220.0,506322846#0,0.0197
2220.0,:cluster_9383263990_9383263991_9383263992_9383263993_10,0.0192
2220.0,:cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more_21,0.0137
2220.0,:cluster11510670762_4554226152_0,0.0134
2220.0,49073272#3,0.0133
2220.0,:cluster_9383263990_9383263991_9383263992_9383263993_21,0.0132
2220.0,:cluster_5372642442_631668976_631668981_631669076_36,0.0126
2240.0,30620492#0,7.761
2240.0,30620492#1,3.6221
2240.0,506322844#0,2.2944
2240.0,-593847703#3,2.1843
2240.0,-300077497#5,0.4161
2240.0,594658760#0,0.4047
2240.0,263217604#0,0.3717
2240.0,594658757#0,0.3013
2240.0,-E0,0.2607
2240.0,:cluster_9383263990_9383263991_9383263992_9383263993_13,0.2139
2240.0,:655375233_4,0.2028
2240.0,506322842#0,0.1516
2240.0,1068234499#0,0.1195
2240.0,:2749340167_0,0.1188
2240.0,593847703#0,0.0579
2240.0,182334378#0,0.0568
2240.0,:cluster_2528018119_655375236_17,0.0563
2240.0,244450512#5,0.0375
2240.0,49073226#2,0.0351
2240.0,288135626#0,0.0348
2240.0,:cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more_17,0.033
