time,edge_id,vehicle_count
360.0,-1334905223#2,0.0824
360.0,-186602412#3,0.002
360.0,-300077497#5,4.8852
360.0,-300077497#8,0.0
360.0,-35274074#2,8.5122
360.0,-49073264#1,0.0098
360.0,-506322847#4,0.0155
360.0,-51362429#1,0.9518
360.0,-51362430,4.3172
360.0,-593847703#3,15.8619
360.0,-593847704#2,0.098
360.0,-593847705,0.0068
360.0,-594658757#2,1.1361
360.0,-E0,18.083
360.0,1068234498#0,4.0543
360.0,1068234499#0,5.6826
360.0,1068440001,5.3824
360.0,1068440004#1,4.7968
360.0,1068440006#0,0.2683
360.0,1239087514,0.0228
360.0,1334904386#0,1.477
360.0,1334905223#0,0.0838
360.0,182334378#0,0.3748
360.0,182334379#0,0.0166
360.0,186602412#0,3.4169
360.0,196961215#2,0.0
360.0,196961377#0,1.8218
360.0,196961377#3,0.4697
360.0,232003903#0,0.0582
360.0,238526531#0,13.4757
360.0,244450512#1,1.1717
360.0,244450512#4,0.0476
360.0,244450512#5,1.5227
360.0,260881642#0,0.0
360.0,263217603#0,0.1172
360.0,263217604#0,0.0496
360.0,288135626#0,0.8945
360.0,288878926#0,8.1278
360.0,300077497#0,0.0327
360.0,300077497#6,3.0301
360.0,303647015#0,0.0
360.0,30620492#0,17.6117
360.0,30620492#1,4.89
360.0,314800955,0.0
360.0,35274074#0,0.4807
360.0,360018417,0.0
360.0,360843888,0.0258
360.0,484988951#0,2.7658
360.0,49073226#2,5.3464
360.0,49073264#0,0.0043
360.0,49073272#1,0.008
360.0,49073272#3,0.0
360.0,49695736#0,6.302
360.0,506322840#0,0.0758
360.0,506322841#3,0.0
360.0,506322841#4,0.0011
360.0,506322842#0,0.6225
360.0,506322844#0,5.4812
360.0,506322846#0,3.6224
360.0,506322846#2,0.867
360.0,506322847#0,0.002
360.0,506322848#0,0.0469
360.0,506322851#0,0.0
360.0,506322851#2,0.0
360.0,506322853#0,0.873
360.0,51362429#0,12.9296
360.0,51362430,1.4199
360.0,51392936#0,0.0
360.0,593844221#0,0.1708
360.0,593847701,0.0
360.0,593847702#0,1.0058
360.0,593847703#0,0.3325
360.0,593847704#0,0.0774
360.0,593847705,0.0114
360.0,593849711#0,0.1964
360.0,593849711#2,2.2577
360.0,593849718#0,0.0953
360.0,593852345#0,0.0104
360.0,594658757#0,0.5193
360.0,594658760#0,0.333
360.0,594658762#0,0.141
360.0,668037874,0.0
360.0,:1973482489_3,0.198
360.0,:1973482489_4,0.0002
360.0,:1973482489_8,0.2099
360.0,:2444664370_0,0.3367
360.0,:2749340167_0,0.0301
360.0,:3086736515_0,0.0014
360.0,:3086736518_0,1.3062
360.0,:3086736518_3,0.0519
360.0,:3086736518_4,0.3822
360.0,:3086736518_6,0.8228
360.0,:3208478121_3,0.003
360.0,:3208478128_0,0.1113
360.0,:655375232_11,0.0
360.0,:655375232_2,3.0602
360.0,:655375232_6,0.4597
360.0,:655375232_8,0.2133
360.0,:655375233_0,1.7295
360.0,:655375233_2,0.0465
360.0,:655375233_4,1.576
360.0,:655375233_8,4.1926
360.0,:655375238_0,0.0087
360.0,:655375238_1,0.0067
360.0,:655375238_2,0.0
360.0,:655375238_3,0.0685
360.0,:655375238_5,0.0
360.0,:655375238_6,0.0161
360.0,:655375239_3,0.0279
360.0,:655375239_5,0.0
360.0,:655375239_6,0.0
360.0,:655375241_0,0.0517
360.0,:656132414_2,0.0266
360.0,:656132414_3,0.0
360.0,:cluster11510670762_4554226152_0,1.7804
360.0,:cluster3086736522_655375108_655375247_655375401_#1more_11,0.0
360.0,:cluster3086736522_655375108_655375247_655375401_#1more_14,0.0013
360.0,:cluster3086736522_655375108_655375247_655375401_#1more_16,0.0003
360.0,:cluster3086736522_655375108_655375247_655375401_#1more_17,0.0111
360.0,:cluster3086736522_655375108_655375247_655375401_#1more_8,0.0
360.0,:cluster619136880_619136881_cluster_4510442270_5296993511_5296993513_619136931_#1more_12,0.0
360.0,:cluster619136880_619136881_cluster_4510442270_5296993511_5296993513_619136931_#1more_8,0.0
360.0,:cluster622618015_622618108_622618112_622618144_#2more_0,0.0
360.0,:cluster622618015_622618108_622618112_622618144_#2more_17,0.0054
360.0,:cluster622618015_622618108_622618112_622618144_#2more_2,0.0213
360.0,:cluster622618015_622618108_622618112_622618144_#2more_26,0.0619
360.0,:cluster622618015_622618108_622618112_622618144_#2more_31,0.0
360.0,:cluster622618015_622618108_622618112_622618144_#2more_34,0.0001
360.0,:cluster622618015_622618108_622618112_622618144_#2more_37,0.0
360.0,:cluster622618015_622618108_622618112_622618144_#2more_39,0.0
360.0,:cluster622618015_622618108_622618112_622618144_#2more_42,0.006
360.0,:cluster622618015_622618108_622618112_622618144_#2more_43,0.0
360.0,:cluster622618015_622618108_622618112_622618144_#2more_45,0.0
360.0,:cluster622618015_622618108_622618112_622618144_#2more_49,0.1889
360.0,:cluster622618015_622618108_622618112_622618144_#2more_52,0.0084
360.0,:cluster655375228_655375240_0,0.0
360.0,:cluster655375228_655375240_13,0.0273
360.0,:cluster655375228_655375240_2,0.0
360.0,:cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more_10,0.0324
360.0,:cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more_12,0.1426
360.0,:cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more_17,0.0
360.0,:cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more_18,0.0
360.0,:cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more_19,0.0
360.0,:cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more_21,0.0
360.0,:cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more_25,0.1341
360.0,:cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more_31,0.0
360.0,:cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more_39,0.0132
360.0,:cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more_40,0.1953
360.0,:cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more_41,0.0257
360.0,:cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more_5,0.0107
360.0,:cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more_6,0.0307
360.0,:cluster_2038168688_655375573_17,0.0017
360.0,:cluster_2038168688_655375573_21,0.0
360.0,:cluster_2038168688_655375573_23,0.2409
360.0,:cluster_2038168688_655375573_24,0.0461
360.0,:cluster_2038168688_655375573_25,0.0
360.0,:cluster_2038168688_655375573_3,0.0691
360.0,:cluster_2038168688_655375573_30,0.036
360.0,:cluster_2038168688_655375573_6,0.1227
360.0,:cluster_2038168688_655375573_8,0.0
360.0,:cluster_2038168688_655375573_9,0.0012
360.0,:cluster_2528018119_655375236_12,0.0749
360.0,:cluster_2528018119_655375236_17,0.0
360.0,:cluster_2528018119_655375236_19,0.0
360.0,:cluster_2528018119_655375236_20,0.0561
360.0,:cluster_2528018119_655375236_25,0.0
360.0,:cluster_2528018119_655375236_27,0.0
360.0,:cluster_2528018119_655375236_29,0.0
360.0,:cluster_2528018119_655375236_3,0.0
360.0,:cluster_2528018119_655375236_31,0.0202
360.0,:cluster_2528018119_655375236_32,0.0118
360.0,:cluster_2528018119_655375236_33,0.0
360.0,:cluster_2528018119_655375236_4,0.0
360.0,:cluster_2528018119_655375236_8,0.0
360.0,:cluster_2664674491_655375287_655375288_1,0.0
360.0,:cluster_2664674491_655375287_655375288_5,0.0
360.0,:cluster_3208478133_655375293_655375296_9631728504_#1more_10,0.0001
360.0,:cluster_3208478133_655375293_655375296_9631728504_#1more_8,0.1268
360.0,:cluster_3431431575_4777363357_655375231_6982059025_3,0.7094
360.0,:cluster_3431431575_4777363357_655375231_6982059025_5,0.1369
360.0,:cluster_3431431575_4777363357_655375231_6982059025_7,0.1497
360.0,:cluster_5372642442_631668976_631668981_631669076_22,0.0
360.0,:cluster_5372642442_631668976_631668981_631669076_26,0.0
360.0,:cluster_5372642442_631668976_631668981_631669076_36,0.0
360.0,:cluster_5372642442_631668976_631668981_631669076_45,0.6092
360.0,:cluster_5372642442_631668976_631668981_631669076_47,0.0
360.0,:cluster_623980147_623980152_3,0.0004
360.0,:cluster_623980147_623980152_4,0.08
360.0,:cluster_623980147_623980152_9,0.2354
360.0,:cluster_9383263990_9383263991_9383263992_9383263993_0,0.0
360.0,:cluster_9383263990_9383263991_9383263992_9383263993_10,0.0059
360.0,:cluster_9383263990_9383263991_9383263992_9383263993_13,0.1006
360.0,:cluster_9383263990_9383263991_9383263992_9383263993_19,0.0
360.0,:cluster_9383263990_9383263991_9383263992_9383263993_21,0.0
360.0,:cluster_9383263990_9383263991_9383263992_9383263993_7,0.0086
360.0,E1,0.0652
380.0,-1334905223#2,0.3249
380.0,-186602412#3,0.0008
380.0,-300077497#5,7.3023
380.0,-300077497#8,0.196
380.0,-35274074#2,8.6395
380.0,-49073264#1,0.0282
380.0,-506322847#4,0.0082
380.0,-51362429#1,0.9113
380.0,-51362430,3.4726
380.0,-593847703#3,14.6443
380.0,-593847704#2,0.0913
380.0,-593847705,0.0135
380.0,-594658757#2,1.2402
380.0,-E0,18.2675
380.0,1068234498#0,3.4384
380.0,1068234499#0,4.3661
380.0,1068440001,4.7537
380.0,1068440004#1,4.6304
380.0,1068440006#0,0.253
380.0,1239087514,0.095
380.0,1334904386#0,0.814
380.0,1334905223#0,0.0394
380.0,182334378#0,0.4728
380.0,182334379#0,0.0364
380.0,186602412#0,2.6744
380.0,196961215#2,0.0
380.0,196961377#0,1.5854
380.0,196961377#3,0.4556
380.0,232003903#0,0.0644
380.0,238526531#0,12.1289
380.0,244450512#1,1.1173
380.0,244450512#4,0.054
380.0,244450512#5,1.4454
380.0,260881642#0,0.0
380.0,263217603#0,0.1168
380.0,263217604#0,0.852
380.0,288135626#0,0.7554
380.0,288878926#0,10.3434
380.0,300077497#0,1.8334
380.0,300077497#6,3.1655
380.0,303647015#0,0.7436
380.0,30620492#0,17.8192
380.0,30620492#1,4.9376
380.0,314800955,0.0005
380.0,35274074#0,0.5555
380.0,360018417,0.0
380.0,360843888,0.0627
380.0,484988951#0,2.8686
380.0,49073226#2,4.8112
380.0,49073264#0,0.0041
380.0,49073272#1,0.0073
380.0,49073272#3,0.0667
380.0,49695736#0,2.8593
380.0,506322840#0,0.3671
380.0,506322841#3,0.0
380.0,506322841#4,0.0009
380.0,506322842#0,0.4235
380.0,506322844#0,3.3056
380.0,506322846#0,1.5417
380.0,506322846#2,0.5518
380.0,506322847#0,0.0242
380.0,506322848#0,0.2313
380.0,506322851#0,0.0468
380.0,506322851#2,0.0387
380.0,506322853#0,0.7346
380.0,51362429#0,13.2325
380.0,51362430,1.1952
380.0,51392936#0,0.0
380.0,593844221#0,0.1675
380.0,593847701,0.0029
380.0,593847702#0,0.5292
380.0,593847703#0,0.5346
380.0,593847704#0,0.1872
380.0,593847705,0.0467
380.0,593849711#0,0.0964
380.0,593849711#2,1.783
380.0,593849718#0,0.186
380.0,593852345#0,0.0156
380.0,594658757#0,0.4618
380.0,594658760#0,0.231
380.0,594658762#0,0.1882
380.0,668037874,0.0
380.0,:1973482489_3,0.1319
380.0,:1973482489_4,0.0076
380.0,:1973482489_8,0.1279
380.0,:2444664370_0,0.3607
380.0,:2749340167_0,0.0206
380.0,:3086736515_0,0.0028
380.0,:3086736518_0,1.3833
380.0,:3086736518_3,0.0589
380.0,:3086736518_4,0.4172
380.0,:3086736518_6,0.7323
380.0,:3208478121_3,0.0012
380.0,:3208478128_0,0.1123
380.0,:655375232_11,0.0138
380.0,:655375232_2,2.9268
380.0,:655375232_6,0.5289
380.0,:655375232_8,0.2782
380.0,:655375233_0,1.3281
380.0,:655375233_2,0.0822
380.0,:655375233_4,1.9236
380.0,:655375233_8,3.8171
380.0,:655375238_0,0.0065
380.0,:655375238_1,0.0366
380.0,:655375238_2,0.0
380.0,:655375238_3,0.026
380.0,:655375238_5,0.0671
380.0,:655375238_6,0.0074
380.0,:655375239_3,0.0214
380.0,:655375239_5,0.2826
380.0,:655375239_6,0.0682
380.0,:655375241_0,0.4347
380.0,:656132414_2,0.0174
380.0,:656132414_3,0.0
380.0,:cluster11510670762_4554226152_0,1.6302
380.0,:cluster3086736522_655375108_655375247_655375401_#1more_11,0.0
380.0,:cluster3086736522_655375108_655375247_655375401_#1more_14,0.0012
380.0,:cluster3086736522_655375108_655375247_655375401_#1more_16,0.0003
380.0,:cluster3086736522_655375108_655375247_655375401_#1more_17,0.0086
380.0,:cluster3086736522_655375108_655375247_655375401_#1more_8,0.0865
380.0,:cluster619136880_619136881_cluster_4510442270_5296993511_5296993513_619136931_#1more_12,0.0
380.0,:cluster619136880_619136881_cluster_4510442270_5296993511_5296993513_619136931_#1more_8,0.0
380.0,:cluster622618015_622618108_622618112_622618144_#2more_0,0.0002
380.0,:cluster622618015_622618108_622618112_622618144_#2more_17,0.0179
380.0,:cluster622618015_622618108_622618112_622618144_#2more_2,0.0126
380.0,:cluster622618015_622618108_622618112_622618144_#2more_26,0.0359
380.0,:cluster622618015_622618108_622618112_622618144_#2more_31,0.0333
380.0,:cluster622618015_622618108_622618112_622618144_#2more_34,0.0
380.0,:cluster622618015_622618108_622618112_622618144_#2more_37,0.0086
380.0,:cluster622618015_622618108_622618112_622618144_#2more_39,0.0242
380.0,:cluster622618015_622618108_622618112_622618144_#2more_42,0.0106
380.0,:cluster622618015_622618108_622618112_622618144_#2more_43,0.0001
380.0,:cluster622618015_622618108_622618112_622618144_#2more_45,0.0011
380.0,:cluster622618015_622618108_622618112_622618144_#2more_49,0.12
380.0,:cluster622618015_622618108_622618112_622618144_#2more_52,0.0048
380.0,:cluster655375228_655375240_0,0.0
380.0,:cluster655375228_655375240_13,0.0131
380.0,:cluster655375228_655375240_2,0.0
380.0,:cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more_10,0.0191
380.0,:cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more_12,0.076
380.0,:cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more_17,0.0
380.0,:cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more_18,0.0052
380.0,:cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more_19,0.0026
380.0,:cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more_21,0.0
380.0,:cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more_25,0.0858
380.0,:cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more_31,0.0
380.0,:cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more_39,0.0102
380.0,:cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more_40,0.1052
380.0,:cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more_41,0.0126
380.0,:cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more_5,0.0031
380.0,:cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more_6,0.0164
380.0,:cluster_2038168688_655375573_17,0.0042
380.0,:cluster_2038168688_655375573_21,0.0335
380.0,:cluster_2038168688_655375573_23,0.1099
380.0,:cluster_2038168688_655375573_24,0.0227
380.0,:cluster_2038168688_655375573_25,0.0
380.0,:cluster_2038168688_655375573_3,0.0344
380.0,:cluster_2038168688_655375573_30,0.1169
380.0,:cluster_2038168688_655375573_6,0.0713
380.0,:cluster_2038168688_655375573_8,0.0021
380.0,:cluster_2038168688_655375573_9,0.046
380.0,:cluster_2528018119_655375236_12,0.4749
380.0,:cluster_2528018119_655375236_17,0.0
380.0,:cluster_2528018119_655375236_19,0.0
380.0,:cluster_2528018119_655375236_20,0.1621
380.0,:cluster_2528018119_655375236_25,0.0006
380.0,:cluster_2528018119_655375236_27,0.0
380.0,:cluster_2528018119_655375236_29,0.272
