time,apply_time,tl_id,road_hint,phase_index,state,old_duration,new_duration,delta_duration
2200.0,0.0,joinedS_3086736518_655375232_655375233,-E0 | E0 | 八德路二段 | 市民大道三段,3,rrrrrrGrrrrrrrrrrrrrrrrrrrrrrGGGGGG,7.0,7.1574251930186,0.15742519301860014
2200.0,0.0,joinedS_3086736518_655375232_655375233,-E0 | E0 | 八德路二段 | 市民大道三段,4,rrrrrrGrrrrrrrrrrrrrrrrrrrrrrrrrrrr,5.0,5.1574251930186,0.15742519301860014
2200.0,0.0,joinedS_3086736518_655375232_655375233,-E0 | E0 | 八德路二段 | 市民大道三段,13,rrrgGGrrrrrrrrrGGrrGGGGrrrrGGrGGrrG,7.0,10.8425748069814,3.8425748069814
2200.0,0.0,joinedS_3086736518_655375232_655375233,-E0 | E0 | 八德路二段 | 市民大道三段,14,rrrgGGrrrrrrrrrGGrrGGGGrrrrrrrrrrrr,5.0,8.8425748069814,3.8425748069814
2200.0,0.0,joinedS_655375228_655375239_655375240,-E1 | E1 | 八德路一段 | 金山北路 | 金山南路一段,0,rrrrrGGGGrrrrrr,27.0,35.0,8.0
2200.0,0.0,cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more,-E0 | E0 | 市民大道三段 | 新生北路一段,0,rrrgggGGGGggGrrrrrrrrrgggGGGggGrrrrrrrrGrG,5.0,5.678847268004227,0.678847268004227
2200.0,0.0,cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more,-E0 | E0 | 市民大道三段 | 新生北路一段,3,GGGrrrrrrrrrrgggGGGGGGrrrrrrrrrggGggGGGrGr,37.0,38.98781939866244,1.9878193986624382
2200.0,0.0,cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more,-E0 | E0 | 市民大道三段 | 新生北路一段,6,rrrgggGGGGggGrrrrrrrrrgggGGGggGrrrrrrrrGrG,45.0,45.678847268004226,0.6788472680042261
2200.0,0.0,cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more,-E0 | E0 | 市民大道三段 | 新生北路一段,9,GGGrrrrrrrrrrgggGGGGGGrrrrrrrrrggGggGGGrGr,9.0,10.98781939866244,1.98781939866244
2200.0,0.0,cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more,-E0 | E0 | 市民大道三段 | 新生北路一段,12,rrrgggGGGGggGrrrrrrrrrgggGGGggGrrrrrrrrGrG,51.0,51.678847268004226,0.6788472680042261
2200.0,0.0,cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more,-E0 | E0 | 市民大道三段 | 新生北路一段,15,GGGrrrrrrrrrrgggGGGGGGrrrrrrrrrggGggGGGrGr,1.0,2.9878193986624395,1.9878193986624395
2200.0,0.0,cluster3086736522_655375108_655375247_655375401_#1more,-51362368 | 51362368 | 市民大道三段 | 市民大道二段 | 新生北路一段62巷 | 金山北路,7,gggGgggrrrrrrrGGGGrrrrrrrrrrrrrG,18.0,22.0,4.0
2200.0,0.0,cluster3086736522_655375108_655375247_655375401_#1more,-51362368 | 51362368 | 市民大道三段 | 市民大道二段 | 新生北路一段62巷 | 金山北路,8,gggGgggrrrrrrrGGGGrrrrrrrrrrrrrr,5.0,9.0,4.0
2380.0,180.0,joinedS_3086736518_655375232_655375233,-E0 | E0 | 八德路二段 | 市民大道三段,3,rrrrrrGrrrrrrrrrrrrrrrrrrrrrrGGGGGG,7.0,7.1113005528209285,0.11130055282092854
2380.0,180.0,joinedS_3086736518_655375232_655375233,-E0 | E0 | 八德路二段 | 市民大道三段,4,rrrrrrGrrrrrrrrrrrrrrrrrrrrrrrrrrrr,5.0,5.1113005528209285,0.11130055282092854
2380.0,180.0,joinedS_3086736518_655375232_655375233,-E0 | E0 | 八德路二段 | 市民大道三段,13,rrrgGGrrrrrrrrrGGrrGGGGrrrrGGrGGrrG,7.0,10.888699447179071,3.8886994471790715
2380.0,180.0,joinedS_3086736518_655375232_655375233,-E0 | E0 | 八德路二段 | 市民大道三段,14,rrrgGGrrrrrrrrrGGrrGGGGrrrrrrrrrrrr,5.0,8.888699447179071,3.8886994471790715
2380.0,180.0,cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more,-E0 | E0 | 市民大道三段 | 新生北路一段,0,rrrgggGGGGggGrrrrrrrrrgggGGGggGrrrrrrrrGrG,5.0,5.847751182004692,0.8477511820046919
2380.0,180.0,cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more,-E0 | E0 | 市民大道三段 | 新生北路一段,3,GGGrrrrrrrrrrgggGGGGGGrrrrrrrrrggGggGGGrGr,37.0,38.81891548466197,1.8189154846619715
2380.0,180.0,cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more,-E0 | E0 | 市民大道三段 | 新生北路一段,6,rrrgggGGGGggGrrrrrrrrrgggGGGggGrrrrrrrrGrG,45.0,45.84775118200469,0.8477511820046928
2380.0,180.0,cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more,-E0 | E0 | 市民大道三段 | 新生北路一段,9,GGGrrrrrrrrrrgggGGGGGGrrrrrrrrrggGggGGGrGr,9.0,10.818915484661975,1.818915484661975
2380.0,180.0,cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more,-E0 | E0 | 市民大道三段 | 新生北路一段,12,rrrgggGGGGggGrrrrrrrrrgggGGGggGrrrrrrrrGrG,51.0,51.84775118200469,0.8477511820046928
2380.0,180.0,cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more,-E0 | E0 | 市民大道三段 | 新生北路一段,15,GGGrrrrrrrrrrgggGGGGGGrrrrrrrrrggGggGGGrGr,1.0,2.818915484661975,1.818915484661975
2380.0,180.0,joinedS_655375228_655375239_655375240,-E1 | E1 | 八德路一段 | 金山北路 | 金山南路一段,0,rrrrrGGGGrrrrrr,27.0,35.0,8.0
2380.0,180.0,cluster3086736522_655375108_655375247_655375401_#1more,-51362368 | 51362368 | 市民大道三段 | 市民大道二段 | 新生北路一段62巷 | 金山北路,7,gggGgggrrrrrrrGGGGrrrrrrrrrrrrrG,18.0,22.0,4.0
2380.0,180.0,cluster3086736522_655375108_655375247_655375401_#1more,-51362368 | 51362368 | 市民大道三段 | 市民大道二段 | 新生北路一段62巷 | 金山北路,8,gggGgggrrrrrrrGGGGrrrrrrrrrrrrrr,5.0,9.0,4.0
2560.0,360.0,joinedS_3086736518_655375232_655375233,-E0 | E0 | 八德路二段 | 市民大道三段,3,rrrrrrGrrrrrrrrrrrrrrrrrrrrrrGGGGGG,7.0,7.072389026688876,0.07238902668887626
2560.0,360.0,joinedS_3086736518_655375232_655375233,-E0 | E0 | 八德路二段 | 市民大道三段,4,rrrrrrGrrrrrrrrrrrrrrrrrrrrrrrrrrrr,5.0,5.072389026688876,0.07238902668887626
