icid,設備編號,路口名稱,群組,經度,緯度,三合一報表連結（網址）
I0SSA,S0SSA10,老泉街-防汛道路,GA0318,121.56047,24.977261,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S0SSA10
I0YPB,S0YPB10,木新路三段-寶橋路,GN0313,121.553864,24.979865,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S0YPB10
I0ZPQ,S0ZPQ10,木新路三段-一壽街,GN0313,121.556383,24.980587,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S0ZPQ10
I0ZPV,S0ZPV10,木新路三段310巷,GN0313,121.557179,24.980808,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S0ZPV10
I0ZTB,S0ZTB10,保儀路13巷-26巷,GA0101,121.565707,24.982641,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S0ZTB10
I0ZTJ,S0ZTJ10,恆光街-恆光橋,GA0318,121.566999,24.982491,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S0ZTJ10
I15QC,S15QC10,木新路三段278巷,GN0313,121.55913,24.981299,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S15QC10
I16QG,S16QG10,木新路三段200號,GN0313,121.559963,24.981504,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S16QG10
I17P9,S17P910,辛亥路七段76巷,GN0313,121.55373,24.981953,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S17P910
I17QN,S17QN10,"木新路三段155,172巷",GN0313,121.561094,24.98177,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S17QN10
I18QX,S18QX10,興隆路四段木新路三段,GC0157,121.562541,24.982099,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S18QX10
I1ARC,S1ARC10,木新路三段50巷,GA0100,121.563563,24.982357,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1ARC10
I1ARI,S1ARI10,木新路二段-保儀路,GA0318,121.565298,24.982756,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1ARI10
I1CPB,S1CPB10,辛亥路七段-忠順街一段,GN0313,121.554028,24.983214,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1CPB10
I1CPQ,S1CPQ10,忠順街一段-木新路三段310巷,GC0052,121.556306,24.983305,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1CPQ10
I1CRT,S1CRT10,木新路二段-恆光街,GA0318,121.566736,24.983256,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1CRT10
I1CSC,S1CSC10,木新路二段161巷12弄,GA0318,121.569147,24.983124,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1CSC10
I1DNP,S1DNP10,"木柵路一段58,89巷",GN0032,121.547309,24.986949,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1DNP10
I1ESA,S1ESA10,木新路二段161巷,GA0318,121.56875,24.983953,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1ESA10
I1EUF,S1EUF10,指南路二段-政大一街,GN0001,121.57947,24.983845,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1EUF10
I1FQB,S1FQB10,忠順街一段26巷,GA0100,121.559143,24.98408,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1FQB10
I1FQR,S1FQR10,辛亥路七段20巷,GN0313,121.553344,24.986172,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1FQR10
I1GQS,S1GQS10,興隆路四段-忠順街二段,GA0100,121.56169,24.984485,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1GQS10
I1GQT,S1GQT10,西安街一段-文林北路94巷,GN0215,121.561857,24.984006,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1GQT10
I1HPC,S1HPC10,辛亥路七段-光輝路50巷,GN0313,121.554194,24.984829,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1HPC10
I1HRS,S1HRS10,保儀路-忠順街二段,GA0099,121.566783,24.984746,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1HRS10
I1IUI,S1IUI10,指南路三段2巷,GC0182,121.580027,24.98502,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1IUI10
I1KRW,S1KRW10,保儀路-永安街22巷,GA0099,121.567391,24.985556,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1KRW10
I1KSL,S1KSL10,木新路二段-永安街,GA0317,121.570601,24.985643,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1KSL10
I1KVJ,S1KVJ10,指南路二段-147巷,GC0116,121.576954,24.987419,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1KVJ10
I1LRR,S1LRR10,木柵路三段66巷-台灣戲曲學校,GN0110,121.566481,24.985957,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1LRR10
I1MPY,S1MPY10,下崙路-光輝路71巷,GS0013,121.557657,24.986198,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1MPY10
I1MS5,S1MS510,萬美街一段-萬和街,GC0147,121.567919,24.986258,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1MS510
I1NMM,S1NMM10,木柵路一段-和興路,GN0032,121.545971,24.986729,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1NMM10
I1NP5,S1NP510,辛亥路七段26巷,GN0313,121.553141,24.98658,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1NP510
I1NQM,S1NQM10,興隆路四段-下崙路,GA0010,121.560908,24.986628,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1NQM10
I1NTY,S1NTY10,木新路一段-指南路一段51巷,GA0317,121.56938,24.988444,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1NTY10
I1PMI,S1PMI10,木柵路一段-萬善橋頭(景美溪橋),GN0032,121.545426,24.986704,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1PMI10
I1PMN,S1PMN10,木柵路一段-試院路(西),GN0032,121.549272,24.987294,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1PMN10
I1PQY,S1PQY10,興隆路四段109巷32弄,GN0110,121.562651,24.98673,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1PQY10
I1PRN,S1PRN10,木柵路三段48巷-興隆路四段109巷,GN0110,121.566082,24.987014,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1PRN10
I1PVN,S1PVN10,萬壽路36號(指南山莊),GC0114,121.577612,24.988766,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1PVN10
I1QN6,S1QN610,木柵路四段111巷,GA0319,121.573537,24.997242,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1QN610
